childId,childName,parentId,parentName
91,people,1,subject
219,child,94,children
94,children,91,people
93,body,91,people
92,actions: postures and motions,91,people
2594,looking down,92,actions: postures and motions
615,head / face,93,body
2158,crown,169,religious and ceremonial
7182,furnace,85,heating and lighting
242,crowd,97,groups
3074,courtier,869,royalty and social rank
870,king,869,royalty and social rank
7023,"Daniel, chapter 3",135,Bible: Old Testament
2341,Nebuchadnezzar,135,Bible: Old Testament
70,natural phenomena,60,nature
1491,pointing,177,actions: expressive
132,religion and belief,1,subject
116,work and occupations,1,subject
78,objects,1,subject
60,nature,1,subject
13,architecture,1,subject
97,groups,91,people
95,adults,91,people
177,actions: expressive,91,people
169,religious and ceremonial,78,objects
85,heating and lighting,78,objects
195,man,95,adults
167,woman,95,adults
135,Bible: Old Testament,132,religion and belief
5731,universal religious imagery,132,religion and belief
983,townscape,28,"townscapes, man-made features"
869,royalty and social rank,116,work and occupations
5740,miracle,5731,universal religious imagery
28,"townscapes, man-made features",13,architecture
1326,fire,70,natural phenomena
1792,smoke,70,natural phenomena
4670,hands clasped,92,actions: postures and motions
694,sitting,92,actions: postures and motions
270,standing,92,actions: postures and motions
20114,portraits,91,people
20118,individuals: male,20114,portraits
227,gestural,185,non-representational
796,irregular forms,185,non-representational
185,non-representational,184,abstraction
184,abstraction,1,subject
6729,formal qualities,29,"emotions, concepts and ideas"
22695,perspective,6729,formal qualities
29,"emotions, concepts and ideas",1,subject
106,places,1,subject
1205,London - non-specific,9301,UK London
12875,chance,6729,formal qualities
113,UK countries and regions,106,places
9301,UK London,106,places
2803,England,113,UK countries and regions
225,colour,185,non-representational
12824,computer,81,electrical appliances
9328,photographic,6729,formal qualities
451,figure,95,adults
81,electrical appliances,78,objects
287,miscellaneous,78,objects
107,"cities, towns, villages (non-UK)",106,places
108,countries and continents,106,places
9901,share trading,180,trading and commercial
16125,Chicago - non-specific,107,"cities, towns, villages (non-UK)"
46,workspaces,40,interiors
180,trading and commercial,116,work and occupations
40,interiors,1,subject
3832,office,46,workspaces
2778,paper,287,miscellaneous
1811,USA,108,countries and continents
21,monuments,13,architecture
26,residential,13,architecture
1927,palace,26,residential
241,column,21,monuments
1495,France,108,countries and continents
3276,Saint-Germain-en-Laye,107,"cities, towns, villages (non-UK)"
636,hill,71,landscape
496,wooded,71,landscape
71,landscape,60,nature
805,building - non-specific,28,"townscapes, man-made features"
880,mountain,71,landscape
745,religious,27,ruins
9808,mill,19,industrial
2711,abbey,25,religious
2868,Durham,114,UK counties
569,cow,67,animals: mammals
76,water: inland,60,nature
67,animals: mammals,60,nature
2087,bank,76,water: inland
495,river,76,water: inland
741,Gothic,22,periods and styles
8199,River Tees,112,UK natural features
114,UK counties,106,places
8285,UK man-made landmarks,106,places
112,UK natural features,106,places
22,periods and styles,13,architecture
25,religious,13,architecture
19,industrial,13,architecture
27,ruins,13,architecture
9141,Egglestone Abbey,8285,UK man-made landmarks
20,military,13,architecture
17,features,13,architecture
1138,castle,20,military
509,Wales,113,UK countries and regions
8901,"Chirk, Chirk Castle",115,"UK cities, towns and villages"
1065,tower,17,features
115,"UK cities, towns and villages",106,places
7244,Wrexham,114,UK counties
7104,"Homer, 'Odyssey'",56,classical
750,chair,82,furnishings
82,furnishings,78,objects
80,fine arts and music,78,objects
141,classical myths: gods and heroes,132,religion and belief
245,column,17,features
10069,singing,53,music and entertainment
2287,weeping,177,actions: expressive
1598,"instrument, lyre",80,fine arts and music
6571,Odysseus / Ulysses,141,classical myths: gods and heroes
5345,sadness,31,emotions and human qualities
55,literature and fiction,1,subject
47,leisure and pastimes,1,subject
53,music and entertainment,47,leisure and pastimes
31,emotions and human qualities,29,"emotions, concepts and ideas"
56,classical,55,literature and fiction
226,geometric,185,non-representational
9663,monochromatic,185,non-representational
,,,
223,landscape,189,from recognisable sources
189,from recognisable sources,184,abstraction
540,night,75,times of the day
4911,moat,76,water: inland
19508,gestural,6729,formal qualities
7016,Tower of London,9301,UK London
19674,"disaster: Tower of London, Grand Storehouse fire, 30 Oct  1841",38,politics and society
33,history,1,subject
1731,reflection,70,natural phenomena
38,politics and society,33,history
75,times of the day,60,nature
271,walking,92,actions: postures and motions
175,actions: processes and functions,91,people
276,carrying,175,actions: processes and functions
2763,back,93,body
8493,bundle,287,miscellaneous
2942,gorge,71,landscape
883,Switzerland,108,countries and continents
111,natural features (non-UK),106,places
2979,Alps,111,natural features (non-UK)
7901,Rhône valley,111,natural features (non-UK)
214,chimney,17,features
8755,gable,17,features
77,weather,60,nature
4756,Caernarfonshire and Merionethshire,114,UK counties
4753,Snowdonia,113,UK countries and regions
1347,cloud,77,weather
1400,rain,77,weather
10980,River Glaslyn,112,UK natural features
15,bridges and viaducts,13,architecture
945,bridge,15,bridges and viaducts
563,rocky,71,landscape
11335,Pont Aberglaslyn,8285,UK man-made landmarks
12259,Jungfrau,111,natural features (non-UK)
41,domestic,40,interiors
761,living room,41,domestic
1865,"boat, sailing",161,transport: water
145,society,1,subject
161,transport: water,145,society
2768,Venice - non-specific,107,"cities, towns, villages (non-UK)"
237,Italy,108,countries and continents
8864,Rigi,111,natural features (non-UK)
11099,River Reuss,111,natural features (non-UK)
5623,Lucerne - non-specific,107,"cities, towns, villages (non-UK)"
2388,waterfront,28,"townscapes, man-made features"
213,house,26,residential
11714,defacement,6729,formal qualities
6927,lifestyle and culture,145,society
72,plants and flowers,60,nature
12911,popular culture,6927,lifestyle and culture
174,"reading, writing, printed matter",78,objects
269,flower,72,plants and flowers
17647,"magazine, 'Town and Country'",174,"reading, writing, printed matter"
164,birth to death,162,symbols & personifications
166,inscriptions,162,symbols & personifications
1572,eye,93,body
757,mouth,93,body
2476,contemporary society,158,social comment
6930,fashion,6927,lifestyle and culture
1986,title of work,166,inscriptions
3527,homosexuality,157,sex and relationships
6738,sensuality,157,sex and relationships
2422,daisy,72,plants and flowers
1283,rose,72,plants and flowers
162,symbols & personifications,1,subject
1050,arm/arms raised,92,actions: postures and motions
272,kneeling,92,actions: postures and motions
158,social comment,145,society
157,sex and relationships,145,society
249,boy,94,children
5733,angel,5731,universal religious imagery
3827,death - flames,164,birth to death
3828,life - leaf,164,birth to death
1351,cliff,71,landscape
3652,tiger,67,animals: mammals
160,transport: land,145,society
4228,car part,160,transport: land
5615,tyre,160,transport: land
1707,star,69,astronomy
69,astronomy,60,nature
6243,machinery,86,tools and machinery
86,tools and machinery,78,objects
11096,Grindelwald,107,"cities, towns, villages (non-UK)"
989,"townscape, distant",28,"townscapes, man-made features"
7925,Lake of Brienz,111,natural features (non-UK)
475,lake,76,water: inland
8952,fortification,20,military
128,military,116,work and occupations
1856,"Sussex, East",114,UK counties
