id,material
61297,"on paper, unique Graphite on paper"
22562,"on paper, unique Watercolour on paper"
87249,"on paper, unique Photograph, gelatin silver print on paper mounted onto board"
33349,"on paper, unique Oil and watercolour on paper"
20165,sculpture Painted plaster on plywood base
71573,"on paper, unique Oil paint on paper"
97088,"on paper, print Photograph, black and white, on paper"
58756,"on paper, unique Graphite on paper"
43180,"on paper, unique Graphite on paper"
64634,"on paper, unique Graphite on paper"
38238,"on paper, unique Graphite on paper"
33348,"on paper, unique Oil and watercolour on paper"
14240,"on paper, print Screenprint on paper"
87248,"on paper, unique Photograph, gelatin silver print on paper mounted onto board"
24960,"on paper, unique Graphite on paper"
20166,"on paper, unique 2 works on paper, photographs, black and white, and typescript"
97920,"on paper, print Linocut print on paper"
61296,"on paper, unique Graphite on paper"
99483,"installation Contractor's shed, 4 gascookers, Perspex, metal, wood, plastic, rubber, paper, food and other materials"
97087,"on paper, print Photograph, black and white, on paper"
58757,"on paper, unique Graphite on paper"
38237,"on paper, unique"
64635,"on paper, unique Graphite on paper"
22561,"on paper, unique Watercolour and graphite on paper"
14241,"on paper, print Screenprint on paper"
22564,"on paper, unique Watercolour and graphite on paper"
33347,"on paper, unique Oil, watercolour and ink on paper"
20167,"on paper, print Engraving on paper"
61295,"on paper, unique Graphite on paper"
11749,"on paper, print Lithograph on paper"
43182,"on paper, unique Graphite on paper"
58758,"on paper, unique Graphite on paper"
40689,"on paper, unique"
3559,"on paper, print Aquatint on paper"
64636,"on paper, unique Graphite on paper"
22563,"on paper, unique Graphite, watercolour and ink on paper"
33346,"on paper, unique Oil and watercolour on paper"
20168,painting Oil paint on canvas
61294,"on paper, unique Graphite on paper"
14242,"on paper, unique Screenprint and envelope on paper"
11748,"on paper, print Lithograph on paper"
71574,sculpture Cedar wood
43181,"on paper, unique Graphite on paper"
58759,"on paper, unique Graphite on paper"
3558,"on paper, print Aquatint on paper"
38239,"on paper, unique"
64637,"on paper, unique Graphite on paper"
40688,"on paper, unique"
63698,"on paper, unique Graphite on paper"
38234,"on paper, unique"
14243,"on paper, print Screenprint on paper"
35738,"on paper, unique Graphite on paper"
41620,"on paper, unique Graphite on paper"
11747,"on paper, print Etching on paper"
8457,"on paper, unique Graphite on paper"
45580,"on paper, unique Graphite on paper"
62233,"on paper, unique Graphite on paper"
64630,"on paper, unique Graphite on paper"
43184,"on paper, unique Graphite on paper"
39699,"on paper, unique Graphite on paper"
16640,"on paper, print Mezzotint on paper"
40687,"on paper, unique"
38233,"on paper, unique"
14244,"on paper, print Screenprint on paper"
