subjectId,count
60,36477
13,29787
106,23842
71,23323
91,20798
95,19158
28,18499
145,13991
78,12381
108,12142
113,11211
76,11075
636,9787
107,9526
114,9400
184,8503
195,8385
2803,8381
29,8248
496,8144
989,8052
495,7683
167,7522
161,7478
17,7248
92,6826
115,6817
73,6647
185,6429
451,6253
20,6090
880,6052
6729,6021
1138,5404
116,5133
162,5022
166,4609
97,4559
111,4259
25,4134
112,4060
88,3942
67,3941
15,3864
237,3859
799,3792
945,3743
558,3606
1865,3452
189,3397
22,3164
47,3129
27,3115
983,3093
26,2934
93,2930
9328,2930
77,2904
225,2898
1065,2888
102,2864
557,2836
20114,2744
226,2715
563,2678
805,2494
40,2449
132,2385
694,2384
1495,2369
94,2363
1809,2360
55,2318
3561,2317
270,2304
465,2301
98,2036
177,2028
82,2007
174,1983
30,1966
160,1932
678,1931
1719,1920
70,1908
942,1894
33,1847
796,1840
31,1820
80,1810
58,1803
221,1771
72,1735
1827,1734
615,1717
475,1712
170,1708
158,1625
1347,1616
5212,1564
2063,1537
75,1445
602,1380
777,1365
118,1364
519,1354
9301,1348
175,1289
20118,1282
2355,1273
213,1255
41,1247
1518,1224
10639,1185
2388,1175
52,1166
2285,1141
9326,1065
19,1024
24,1023
6927,1018
169,1015
514,984
493,980
117,972
445,964
62,956
223,945
20117,941
769,933
38,929
209,903
219,903
883,903
8285,902
741,897
2111,888
1519,883
4527,880
53,879
18,878
244,855
509,855
69,850
21,833
86,833
227,829
128,819
8407,812
222,788
1351,771
79,770
90,759
9329,753
2979,750
157,745
4574,737
565,734
570,734
480,732
249,730
810,730
594,725
745,718
2597,699
1050,698
1204,694
2087,683
8952,678
614,672
4386,670
5477,669
146,668
1727,665
5731,665
867,664
247,662
4896,659
569,654
750,640
2104,636
1266,624
178,623
2942,621
19508,607
9663,601
1012,592
51,587
1810,578
6904,574
85,565
527,554
20116,552
625,545
242,544
141,542
286,538
1558,535
1731,533
133,522
529,521
240,519
2711,519
604,515
826,508
2289,507
179,504
1516,494
269,493
1151,492
64,490
3381,489
276,488
287,473
149,471
1535,467
1207,457
266,454
540,453
84,449
263,448
743,448
5060,446
8513,443
272,439
1927,437
1856,432
155,428
119,426
17464,417
531,417
61,416
503,414
913,414
476,407
4898,407
172,403
3778,403
1048,400
245,399
183,397
712,395
180,385
134,384
46,384
537,384
271,381
44,374
2648,373
63,371
587,369
722,368
18725,367
1567,364
54,361
